1.9,8.4,0,7.6,4,-16.1,25.5,9.5,0.4,3.5
-3,0.8,0,10.7,5.4,-18.8,29.3,10,0,0.14
-1.5,3.9,0,9,5.2,-19.1,26.3,10.1,-0.3,0.05
-1.3,3.4,0,6.7,3,-15.9,32.8,10.3,1.2,2
1.6,7.4,0,10.6,5,-20.1,19.1,10.4,4,0.15
13.7,17.7,0,11.9,5.4,-5.3,28.4,10.1,10.8,0.2
7.1,11.5,0,12,5.2,-12.7,23.8,9.5,8.9,1.5
12.9,20.1,0,7.1,3.7,-12.2,16.9,10.6,13.3,2.3
14.3,22.2,0,6.1,2.2,3.4,52.4,7.8,15.2,0.8
10.9,15.7,0,7.7,3,-6.6,30.4,11.8,13.9,0.5
12,17.2,0,17.8,8.1,-13.1,16.6,10.2,12.7,1296
16.5,23.4,0,11.9,6.6,-1.9,28.6,9.7,18.3,151
7.5,13.5,0,4.6,2.5,-6.4,36.5,10.4,7.2,0.1
16,21.8,0,8,4.8,-2.3,29.6,9.1,12.1,26.56
14.7,20.9,0,8.5,3.9,-0.1,37.8,10.7,14.9,0.01
4.9,9.5,0,5.7,3.3,-5,50.8,8,5.7,0.01
7.9,13,0,7.8,3.8,-13,21,10.8,8.1,0.3
11.5,16.1,0,6.9,4.5,-5.5,31,9,12,1
10,14.3,0,5.9,2.8,-3.4,40.9,5.5,11.2,0.3
18.3,23.5,0,8.7,3.4,-6.9,18.3,6.9,15.5,430
12.2,16.2,0,6,3.4,-5.1,31.8,0.3,13.3,0.01
18.3,24.3,0,7.9,4.4,-4.6,20.9,10.7,20.2,46
23.9,29,0,10.9,4.8,3.4,26.9,9,24.1,0.02
19.3,22.5,0,5.3,2.7,8,48.6,11.2,21.6,0.01
9.4,14.6,0,8.3,3.9,-7.6,30.1,8.4,7,0.4
1,4.4,0,5.3,2.8,-10.5,42.5,8.8,5.2,0.3
12.1,16.2,0,8.7,5.3,-5.3,31.3,9.2,8.9,0.7
0.2,7.6,0,9.1,5,-22.1,18.8,9.3,5,0.7
12.9,18.5,0.2,9.9,3.7,-2.8,35,5.2,10.9,0.1
9.1,15.6,0,9.2,3.6,1.4,58.6,8.2,8.7,0.3
22.2,28,0,8.5,5.7,-5.6,15.3,12.3,21.8,2
21.8,28.4,0,5.1,2.8,-2.2,21,10.1,23.5,3
12.3,16.3,0,3.3,1.8,8.2,76.6,4.9,16.6,0.01
-1.1,2.8,0,5.8,3.4,-20.1,22.6,9.6,0.4,0.03
11.5,17.8,0,5.3,2.4,-4,35.3,8.5,11,0.01
7.7,12.6,0.1,9.9,5.2,-5.3,44.3,9.6,12.7,0.8
2.9,8.6,0,6.3,3.1,-9.3,41.3,9.4,-1.1,0.2
15.2,21.5,0,5.8,2.9,-7,22.8,7,17.9,0.1
12.3,19.2,0,6.7,4.1,-2.4,37.4,7.6,11.5,0.02
8.2,13.9,0,5.6,2.3,-3.8,44.5,9.4,8.3,0.1
2.4,6.7,0,6.9,4.4,-15.5,26,9.6,4.1,0.1
4.5,9.1,0,4.4,2,-7,43.9,10.5,8.3,0.02
24.4,30.6,0,6.6,4.6,-0.1,21.1,12.4,25.3,0.2
5.2,9.4,0,8.2,5.1,-7.1,40.6,10.4,5.3,0.1
15.5,21.5,0,5.7,2.7,-10.1,17.3,8.3,17.5,0.6
19.9,24.3,0,7.8,4.5,2.5,31.6,4.1,22,0.03
1.5,6.4,0,5.4,2.8,-8.7,47.3,10.3,1.7,0.03
4,9.1,3.5,3.9,1.3,-2.6,64.1,0.7,4.2,0.01
5.7,10.5,0,7.1,4.1,-10.5,31,9.3,8.2,160.41
19.7,26.1,0,6.4,3.6,-2.3,23.1,12.2,21.1,0.3
6.2,15,0,8.5,2.8,-4.3,52.8,11,9.3,3
14.2,24.3,0,4,1.2,6.2,63.5,8.9,16.1,4
12.1,20.8,0,4,1.6,-3,39.8,11.5,15.7,41.2
12,20.2,0,4.5,1.5,-0.7,46.3,9.3,14.2,4
11.9,25.7,0,3.5,1,0.5,54.5,11.4,15.8,0.5
4.5,13.5,0,3.4,1.2,-3.9,62,11.1,8.7,1.6
8.8,21.4,0,3.8,1.2,-3.2,49,10.1,13.9,1
10.9,22.4,0,6.4,1.8,4.1,66.5,8.8,15.4,1
15.2,26.8,0,4.2,1.3,5.5,59.3,10.9,18.4,6
14.6,22.8,13.5,5.7,1.6,7.7,67.5,6.5,16.9,0.9
7,19.6,0,2.7,0.7,-2.9,54.3,10.1,11.8,4.6
13.3,23.4,0,3.4,0.9,-1,42,8.3,17.3,10
13.4,24.4,0,4.4,1.2,-0.8,44.3,11,18.9,0.2
14.8,26.5,0,1.8,0.7,1.8,48,10.7,20.7,0.1
11.9,16.1,0,4.5,1.9,-3.5,38.5,7.6,12.8,0.7
6.3,15.1,0,3.4,1,-6.5,42.3,10.2,11.8,1
16.6,24.1,0,4,1.5,4,43.8,6.9,20.8,0.4
-3.1,6.6,0,2.8,0.9,-9.7,66.8,9.1,-0.5,0.3
8.1,19.3,11.5,3.2,1.1,-0.5,62.5,6.3,9.4,1
9.1,20.5,0,4.1,1.3,-4.5,42.1,8.9,8.8,1.4
10.8,16.6,0,4.7,2.2,-6.1,31.3,9.9,12.1,36.1
13.3,24,0,4.6,1.5,-3,34.9,10.7,18.2,3
5,11.7,0,5.5,2.3,-5.1,51.3,6.5,6.2,2
4.2,9,0,4.9,2.2,-9.3,38.8,8.8,5.9,1
4.2,13.9,0,2.5,0.5,-5.8,50.5,3.8,3.8,1
0.9,8,0,5,1.6,-11.7,41.8,6.7,4,0.4
11.8,23.2,0,3.3,0.8,0.3,48.3,7.4,13.5,1
-5.3,1.5,0,5.7,1.2,-15.2,48.8,7.3,-4.3,0.1
-10,-3.7,0,5.1,1.6,-22.5,33.8,8.1,-5.7,0.03
-5.4,3.2,0,6.3,1.4,-14.7,52.3,8.4,-3.8,0.5
-0.9,8.9,0,2.3,0.5,-8.5,58.9,6.5,-0.5,2
-7.5,1.4,0,4.6,1.1,-21.1,37.9,8.4,-4.2,1
3.5,10.4,0,6.1,1.8,-10.2,40.6,7.9,3,0.7
7.7,17.5,0,5.6,1,-6.1,40.9,9.4,18,0.1
6.5,15.5,0,7.7,1.9,-4.7,47.3,9.5,16.1,0.8
8.5,18,0,4.3,1,-3.9,45.9,10.2,20.7,0.1
16.9,28.5,0,5.8,0.9,1.8,40.5,10.2,28.8,0.03
17.4,27.8,0,4,0.8,6.1,50.3,8.5,30.3,9.5
16.3,28.5,0,6.1,0.7,4.9,51.3,7.7,33.4,3.5
17.7,28.5,0,5,1,2.6,39.4,11,36.6,0.3
15.1,24.7,0.5,6.2,1.7,5.1,53,5.3,28.7,1
11.3,21,0,6.8,1,-1.7,45.3,9.4,27.8,0.5
-1.4,5.7,0,6.3,1.6,-11.4,49.8,9.6,-0.3,0.16
-3.6,5.5,0,4.4,1,-13.2,50.9,9.2,-1.6,0.5
-1.4,3.4,0,8.4,3.9,-17.4,28.5,9.8,0.7,0.5
2.9,12.6,0,7,1.4,-11.5,39.3,9.7,4.2,0.1
6.9,16.9,0,4.8,1.2,-5.4,44.1,9.3,8.2,2
7.2,15.7,0,4.4,0.9,-5,42.5,2.6,9.9,0.2
7,18.2,0,3.6,1.2,-9.3,33.1,10.2,12.3,0.5
11.9,19.2,0,4.2,1.2,0.9,48.8,3.2,17.1,0.03
13.5,22.6,0,6.9,1.8,1.2,46.8,10.8,19.1,0.1
7.7,18.2,0,4.3,0.8,0.7,66.6,0,0,0.03
-8.3,-3.7,0,7.9,3.3,-18.2,44.5,7.1,0,0.2
-0.5,7,0,4,1.3,-8.9,56.9,9.3,0,0.2
8.1,17.8,0,3.7,1.2,-6.2,40.1,10.5,12.5,0.09
14.2,24,0,4.5,1.6,2.9,50,10.6,19.3,1
12.1,21.7,0,5.7,2,-1.4,43.6,11.7,18.1,1.5
18.2,27.1,0,3.7,1.1,7.8,54.8,11,24.4,0.3
8.7,15.1,0,8.1,2.2,-5.5,40.6,8,11.4,25.54
3.6,8.6,0,6.8,2.5,-7,47,9.1,4.2,0.4
9.5,18,5.5,5.1,1.3,-0.4,55.3,3.7,11.5,1.5
12.6,19.1,1.5,5.1,1.7,3.3,60.9,7.8,16.9,0.2
7.3,17.5,0,3.3,0.7,0.7,67.9,8.9,9.8,0.2
-0.2,8.6,0,4.2,1.3,-12.1,46.4,10.1,2.4,0.3
10.1,17.7,0,6.5,2,-1.4,48.6,9.5,13.1,0.1
21.2,30.7,0,2.8,0.9,9.5,53,11.8,27.1,0.2
20.9,30.6,0,3.2,1,10.9,58,12.8,28.4,0.3
-9.9,-1.3,0,3.3,0.9,-18.4,60.3,7.5,-7.8,0.01
-8.5,1,0,1.4,0.3,-15.3,66.8,5.3,-6.9,0.3
15.7,26.7,0,3.2,0.8,8.5,66.9,10,18.5,0.12
13.5,18,7.5,5.9,2.5,4.1,55.3,7.6,11.3,1
-0.6,9,0,2.3,0.6,-5.8,71.6,7,-1.2,0.2
24.4,35,0,2.8,0.9,10,45.6,12.3,31.4,0.07
3.6,10.7,2.5,4.4,1.4,-4.1,59.4,5.9,2.4,0.1
8.9,21.3,0,3.4,1,-6.1,42.4,9.4,8,0.1
14.5,25.2,0,3,0.9,2.3,53.5,10.2,16.6,1
16.9,28.9,0,3.7,1.2,0,40.8,11.7,19,0.1
17.3,28.6,0,3.9,1.5,-0.8,37.6,9.4,19.5,0.1
-9.8,-1.8,0,3.3,0.9,-16.5,61.6,7.9,-8.2,0.1
-10.6,-2.1,0,3.3,0.9,-20.3,50.9,8.1,-9,0.3
10.7,20.1,0,3,1.3,-1.1,49.3,10.5,12.3,0.3
10.1,19.5,0,4.5,1.4,-2.2,50,11,12.4,1.4
15.9,26.8,0,4.9,1.3,0.6,43,11,17.1,28
14.4,22.3,0,3.9,1.5,4.5,54.4,2.1,16.2,0.1
14.2,21.2,1,4.5,2.1,0.5,44.3,7.1,18.4,0.03
20.3,29,0,4.7,1.5,7,49.6,8.4,23.7,0.2
17.9,26.6,0,3.1,1,12,72.1,8.7,20.8,0.1
12,22.7,0,3.9,0.7,5.8,69.9,8.1,11.4,0.11
6.9,17.8,0,4.2,1.2,-7.2,43.1,8.2,6.1,0.2
8.3,18.2,0,4.7,1.3,-5.4,44.5,11.3,10,0.1
7.1,15.3,0,4.9,1.7,-3.9,48.6,10.1,11,0.1
24.2,32.9,0,3.3,1.2,13.4,55.9,10.3,29.7,0.1
14.4,23.2,0,2.7,0.7,10.1,77.9,6,16.6,0.1
-1.9,5.1,0,3.4,1.2,-12,51.5,3.6,-1.7,0.3
4.1,14.1,0,4.2,1.4,-10.8,39.9,9.5,4.3,0.3
11.7,20.8,0,3.1,0.9,5.4,69.9,8.9,14.1,0.01
-4,1.8,0,1.6,0.4,-9.4,67.9,1,-3.5,0.1
-7.8,-0.9,0,3.1,0.8,-16.5,54.4,7.9,-6.4,0.03
15.7,25.8,0,3.8,1.4,1.1,46.4,7.6,19,11
16.7,24.9,0,5.6,2,-1.3,36.9,12.7,22.1,0.01
18,24.4,1,4.4,1.2,11,65.8,4.6,21.5,0.01
20.2,27.3,0,3.7,1.3,12.5,64.6,7.7,25.6,0.1
17,20.3,2,2.8,0.8,13.2,79.4,0,16.6,0.2
25.8,34.2,0,3.8,1.5,12.9,52,12.1,35.8,0.08
6.6,17,0,4.7,1.3,-9.3,39.4,11.1,6.6,0.1
10.8,18.4,0,5.2,1.9,-1.2,49,6.6,12,0.2
8.9,16,0,3,1.3,-8.2,36.9,9.3,12.9,0.1
13,21.2,0.5,3.1,1.1,4.4,62.1,8.9,15.8,0.1
18.9,28.1,0,4.2,2.1,3.7,41.6,13.1,23.4,0.05
-0.4,5.9,0,5.5,2,-16.7,30.9,10,2.4,0.2
