13,16,16.2,5,2.1,79.3,2.7,13.8,0
11.7,18.9,0,6,1.8,51.5,10,13.5,0
10.9,18.9,0,6.2,1.5,50.3,4.3,12.6,0
11.5,22.7,0,3.5,0.7,53.3,9.6,14.6,0
11,20.2,29.1,3.7,0.6,78,3.6,11.3,0
10.5,15,34.3,5.3,2,69.5,4.9,11.9,0
9.8,19.7,0,5.8,1.7,55.3,10.3,13.5,0
10.3,18.8,0,7,2,54.5,11.4,13.5,0
11.6,21.2,0,4.8,1.5,58.8,10.4,15.4,0
12.8,21.5,0,4.5,1,53.8,10.4,14,0
14.4,24.2,0,5.2,1.3,44.8,10.9,16.9,0
16.5,23.8,0,4.7,1.1,62.5,9,19.1,0
15.2,23.1,0,5.5,2,75.8,6.2,17.9,0
13.6,20.9,0,4.5,1.6,53.5,11.6,18.2,0
13.3,23.3,0,5.2,1.5,56.5,11.1,15.8,0
15,23.4,0,4.8,1.4,59,11.1,18.5,0
14.3,19.6,5.3,4.7,1.5,60.8,5.2,16.4,0
12.8,21.4,5,10,3,57.3,10,15.7,0
-3.9,3.2,0,3.5,0.7,65.8,6.6,-0.1,0
-4.3,1.9,0.4,3.8,0.6,72.8,3.3,-0.5,0
0.3,4.4,7,2.7,0.4,81,0,-0.4,0
-3,1.9,0,2.2,0.6,67.3,3.3,-0.9,0
-5.2,3,0,2.3,0.3,65.5,7.1,-0.6,0
-4.8,3.2,3.1,5,0.8,71,1.3,-0.9,0
-6.9,1.3,0,5.3,0.6,65.3,5.1,-0.6,0
-5.9,0.3,0,4.2,1.4,47.8,8.1,-0.7,0
-5.4,2.8,0,3.7,0.9,60.5,7.3,-0.6,0
-1,5.3,0,5.3,1.3,53.3,4.6,0.3,0
-3.7,5.3,0,4.8,0.6,58,7.7,0,0
-3.2,1,0.1,2.8,0.3,75.5,0,-0.9,0
-0.3,3.4,0,4,2.2,43.8,6.4,0,0
-1.1,4,0,4.7,1.1,55.5,3.7,-0.3,0
2.1,7.3,1.6,7,2.1,58.3,2.7,0.4,0
-3,1.3,0,5.3,2.4,24.8,7.6,-0.4,0
-4.3,2.8,0,3.2,0.7,51,7.9,-0.8,0
-1.5,2.3,0.9,5.2,1.1,72,0,-0.3,0
-5.1,0.8,0,5,1.3,47.5,7.2,-1,0
-4.5,2.3,0,3.7,1,47.3,7.8,-0.4,0
-1.8,2.9,0.4,5,1.6,53.3,4.5,0.2,0
-2.4,5,0,3.5,0.7,58,5.8,0,0
2.3,5.3,3,6.2,3,54.5,5.1,1.3,0
0.1,4.9,0,6.3,2.5,51.5,5.7,0.2,0
0.4,9,0,3.7,0.6,58.3,7.9,1.5,0
2.6,13.3,0,5.3,1,51.5,8.1,1.6,0
4.9,16.2,0,2.3,0.3,67.8,7,1.5,0
7.4,15.5,1,1.7,0.1,70.8,2.5,5.3,0
10.3,14.2,5.6,1.7,0.3,88.3,0,7.7,0
9.1,12.8,3.3,3.3,1.3,71.5,0,7.8,0
5.9,8.7,0,3.8,1.5,51,0,6.5,0
4,10.4,0,3.7,0.8,49.5,6.8,6.1,0
3.7,9,0,4.7,0.9,50.8,2.4,5,0
2.3,4.7,2.2,4.3,1.9,77.3,0,3.7,0
1.1,5.9,0,4.3,1.3,51.5,4.8,2.8,0
0.2,7.2,0,5.7,1.2,56,5.7,2.2,0
2.7,10.3,0,4.3,0.8,59,6.9,5,0
4.3,13.1,0,3.2,0.6,59.5,8,5.9,0
3.4,9.7,0,4,1.2,57.8,2.8,5.6,0
4.5,14.2,0,4.7,0.6,48.5,5.4,6.4,0
4.7,10.9,0,3.3,0.6,65,1.4,5,0
5.2,15.8,0,2.7,0.5,58.8,6.1,7,0
7.6,16.2,0,3.7,0.4,55.8,0.6,6.5,0
10.5,18.8,0,3.2,0.9,49.8,5.9,9.5,0
5.4,7.7,0,3.2,1.4,54.8,0,6.5,0
4.2,8,0.5,5.3,1.9,54.8,0,5.6,0
4,7.6,2.4,2.7,0.6,77.8,0,5.2,0
5.8,12.4,0,5,1.5,57,5.4,8.4,0
5.2,11.4,0,5.7,0.9,56,1.7,6.2,0
6.6,11.2,0.1,5.7,1.6,47.8,3.2,7.7,0
5.3,13.6,0,2.8,0.6,53.5,7.9,8,0
6.3,8.1,13,5.3,1.2,77.5,0,6.6,0
5.9,9.7,0,4,0.8,79.8,0,6.8,0
7.5,11.6,0,3.7,1.2,57.3,4.6,8.8,0
9,17.5,0,2.5,0.6,50.5,7.9,10.8,0
10.8,19.8,0,3.3,1.2,39,8.7,11.8,0
10.7,19.2,0,4,0.9,48.3,8.1,12.6,0
11.1,19.5,0,5,1.2,53,7.6,13.7,3
10,19.7,0,4.3,0.8,59,7.7,13.3,0
10.8,19.9,0,3.2,0.6,56.5,6.4,12.2,0
13.4,19.4,0,6.3,1.8,45.3,6.9,14.9,22.8
